sampler_label,count,average,median,90%_line,min,max,error%,rate,bandwidth,stddev
Get,10,888,1010,1175,74,1176,0.9,2.6336581511719777,11.533828104424545,412.2902011932858
Get with random failure,8,172,45,75,17,1062,0.875,6.498781478472786,116.16968546913078,336.5976594912686
TOTAL,18,570,75,1170,17,1176,0.8888888888888888,3.6892805902848944,38.28629393830703,520.9078494842643
